PROD_CODE;BASKET_ID
PRD0900725;994106500000895
PRD0901527;994106500000895
PRD0901977;994106500000895
PRD0902163;994106500000895
PRD0902394;994106500000895
PRD0902411;994106500000895
PRD0903336;994106500000895
PRD0903389;994106500000895
PRD0903395;994106500000895
PRD0901369;994106500000895
PRD0902129;994106500000895
PRD0901168;994106500000895
PRD0902479;994106500001026
PRD0903788;994106500001026
PRD0903819;994106500001026
PRD0904184;994106500001026
PRD0900280;994106500001026
PRD0901441;994106500001039
PRD0903199;994106500001039
PRD0904358;994106500001039
PRD0904780;994106500001039
PRD0904888;994106500001039
PRD0904184;994106500001039
PRD0900454;994106500001083
PRD0900700;994106500001083
PRD0902405;994106500001083
PRD0903127;994106500001083
PRD0903463;994106500001083
PRD0903788;994106500001083
PRD0904363;994106500001083
PRD0900384;994106500001253
PRD0900400;994106500001253
PRD0900830;994106500001253
PRD0901133;994106500001253
PRD0901194;994106500001253
PRD0901860;994106500001253
PRD0901965;994106500001253
PRD0902008;994106500001253
PRD0902265;994106500001253
PRD0902767;994106500001253
PRD0902801;994106500001253
PRD0902969;994106500001253
PRD0902970;994106500001253
PRD0903523;994106500001253
PRD0903925;994106500001253
PRD0903940;994106500001253
PRD0903993;994106500001253
PRD0904434;994106500001253
PRD0904511;994106500001253
PRD0904615;994106500001253
PRD0903639;994106500001253
PRD0901499;994106500001253
PRD0903270;994106500001744
PRD0904663;994106500001744
PRD0904917;994106500001744
PRD0902817;994106500001817
PRD0900218;994106500002304
PRD0902968;994106500002304
PRD0903229;994106500002304
PRD0903787;994106500002304
PRD0904358;994106500002304
PRD0904469;994106500002304
PRD0904945;994106500002304
PRD0901348;994106500002304
PRD0903678;994106500002304
PRD0900218;994106500002586
PRD0901802;994106500002586
PRD0903988;994106500002586
PRD0904857;994106500002586
PRD0904881;994106500002586
PRD0901338;994106500002621
PRD0904248;994106500002621
PRD0900254;994106500002776
PRD0904434;994106500002776
PRD0901007;994106500003202
PRD0902118;994106500003202
PRD0901506;994106500003545
PRD0901219;994106500003554
PRD0901809;994106500003554
PRD0903211;994106500003554
PRD0904441;994106500003554
PRD0904444;994106500003554
PRD0900162;994106500003554
PRD0903437;994106500003554
PRD0904366;994106500003554
PRD0903703;994106500003554
PRD0904797;994106500003554
PRD0900173;994106500003612
PRD0901003;994106500003612
PRD0900332;994106500003915
PRD0902140;994106500003915
PRD0903788;994106500003915
PRD0900296;994106500003936
PRD0900302;994106500003936
PRD0900407;994106500003936
PRD0902069;994106500003936
PRD0902540;994106500003936
PRD0903053;994106500003936
PRD0903093;994106500003936
PRD0903214;994106500003936
PRD0903270;994106500003936
PRD0904679;994106500003936
PRD0904878;994106500003936
PRD0900745;994106500004120
PRD0900465;994106500004322
PRD0900907;994106500004361
PRD0904209;994106500004361
PRD0900034;994106500004371
PRD0900078;994106500004371
PRD0900713;994106500004371
PRD0900761;994106500004371
PRD0900997;994106500004371
PRD0901837;994106500004371
PRD0902099;994106500004371
PRD0902603;994106500004371
PRD0902852;994106500004371
PRD0903007;994106500004371
PRD0903078;994106500004371
PRD0903228;994106500004371
PRD0903270;994106500004371
PRD0903560;994106500004371
PRD0903835;994106500004371
PRD0904358;994106500004371
PRD0904391;994106500004371
PRD0900168;994106500004371
PRD0901228;994106500004697
PRD0902840;994106500004697
PRD0903750;994106500004697
PRD0901877;994106500004697
PRD0900027;994106500004819
PRD0900463;994106500004819
PRD0900676;994106500004819
PRD0900899;994106500004819
PRD0901083;994106500004819
PRD0901265;994106500004819
PRD0901584;994106500004819
PRD0902019;994106500004819
PRD0902365;994106500004819
PRD0902390;994106500004819
PRD0902408;994106500004819
PRD0902897;994106500004819
PRD0902907;994106500004819
PRD0903052;994106500004819
PRD0903529;994106500004819
PRD0904092;994106500004819
PRD0904469;994106500004819
PRD0904945;994106500004819
PRD0902129;994106500004819
PRD0904340;994106500004819
PRD0901070;994106500004838
PRD0901316;994106500004838
PRD0901699;994106500004838
PRD0901983;994106500004838
PRD0903571;994106500004838
PRD0903612;994106500004838
PRD0904371;994106500004838
PRD0904418;994106500004838
PRD0904817;994106500004838
PRD0902679;994106500004838
PRD0900907;994106500004863
PRD0903487;994106500004863
PRD0900265;994106500004877
PRD0900838;994106500004877
PRD0901152;994106500004877
PRD0901255;994106500004877
PRD0902347;994106500004877
PRD0903184;994106500004877
PRD0904183;994106500004877
PRD0900493;994106500004877
PRD0900121;994106500004882
PRD0900202;994106500004964
PRD0903588;994106500004964
PRD0903776;994106500004964
PRD0903253;994106500004964
PRD0902453;994106500004982
PRD0902671;994106500004982
PRD0900009;994106500005148
PRD0900200;994106500005148
PRD0900324;994106500005148
PRD0900380;994106500005148
PRD0900395;994106500005148
PRD0900398;994106500005148
PRD0900649;994106500005148
PRD0900830;994106500005148
PRD0901088;994106500005148
PRD0901561;994106500005148
PRD0902140;994106500005148
PRD0902170;994106500005148
PRD0902292;994106500005148
PRD0902472;994106500005148
PRD0902887;994106500005148
PRD0903136;994106500005148
PRD0903460;994106500005148
PRD0903620;994106500005148
PRD0903835;994106500005148
PRD0904250;994106500005148
PRD0904273;994106500005148
PRD0904332;994106500005148
PRD0904976;994106500005148
PRD0900052;994106500005148
PRD0904029;994106500005148
PRD0902129;994106500005148
PRD0901901;994106500005148
PRD0902507;994106500005148
PRD0900109;994106500005148
PRD0904140;994106500005148
PRD0902352;994106500005148
PRD0904162;994106500005505
PRD0902277;994106500005505
PRD0902913;994106500005575
PRD0903620;994106500005575
PRD0904832;994106500005575
PRD0904916;994106500005575
PRD0900247;994106500005575
PRD0903429;994106500005575
PRD0900382;994106500006099
PRD0904374;994106500006250
PRD0902200;994106500006250
PRD0900493;994106500006250
PRD0900734;994106500006540
PRD0903667;994106500006540
PRD0900465;994106500006576
PRD0900121;994106500006724
PRD0901426;994106500006724
PRD0901060;994106500006724
PRD0903846;994106500006724
PRD0900173;994106500006895
PRD0900201;994106500006895
PRD0900454;994106500006895
PRD0901500;994106500006895
PRD0901672;994106500006895
PRD0901916;994106500006895
PRD0902257;994106500006895
PRD0902653;994106500006895
PRD0903052;994106500006895
PRD0903074;994106500006895
PRD0903265;994106500006895
PRD0903526;994106500006895
PRD0904806;994106500006895
PRD0904038;994106500006895
PRD0904652;994106500006895
PRD0901028;994106500006952
PRD0901407;994106500006952
PRD0903078;994106500006952
PRD0903140;994106500006952
PRD0903939;994106500006952
PRD0904152;994106500006952
PRD0904469;994106500006952
PRD0900242;994106500006952
PRD0901017;994106500006952
PRD0902167;994106500006952
PRD0900121;994106500007056
PRD0900171;994106500007056
PRD0901627;994106500007056
PRD0903399;994106500007056
PRD0903991;994106500007056
PRD0900045;994106500007056
PRD0902671;994106500007056
PRD0903846;994106500007056
PRD0903100;994106500007100
PRD0904358;994106500007100
PRD0904958;994106500007100
PRD0903042;994106500007211
PRD0903271;994106500007260
PRD0903439;994106500007260
PRD0904334;994106500007260
PRD0904495;994106500007260
PRD0901060;994106500007260
PRD0903846;994106500007260
PRD0904340;994106500007260
PRD0900097;994106500007401
PRD0902969;994106500007401
PRD0901577;994106500007544
PRD0903052;994106500007544
PRD0904599;994106500007544
PRD0901577;994106500007672
PRD0903130;994106500007672
PRD0900254;994106500007938
PRD0900270;994106500007938
PRD0900312;994106500007938
PRD0900830;994106500007938
PRD0901094;994106500007938
PRD0901134;994106500007938
PRD0901450;994106500007938
PRD0901627;994106500007938
